tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Sun Feb 19 12:43:01 +0000 2023,17865618,Tzipi_Livni,"אי אפשר לסחור בדמוקרטיה
דמוקרטיה היא לא מסחרה פוליטית! 
אנחנו רוצים שופטים עצמאיים
שומרי סף עצמאיים
תקשורת חופשית 
ושמגילת העצמאות, הדבק שמאחד אותנו תחוקק כחוק יסוד במדינת ישראל.

קישור לנאום המלא מההפגנה בחיפה נגד ההפיכה המשטרית: https://t.co/tLS5uWkLmv https://t.co/vmEwOaR4pH",https://twitter.com/Tzipi_Livni,ציפי לבני Tzipi Livni,https://twitter.com/Tzipi_Livni/status/1627287640746741761,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sun Feb 19 05:16:27 +0000 2023,39735132,GONENB1,"עד שהציבור הזה יאמר ""מסכים אני לחנינה"".
זה יהיה הרגע שבו הדמוקרטיה תסתיים באופן מלא.
כל מי שתומכים במשא ומתן: מתווה הנשיא, מתווה סבתא שלי, מתווה אבו זוביין, מגיש למעשה את ראשה של הדמוקרטיה על מגש של כסף לתליין.
על דמוקרטיה וחופש לא מתמקחים. נלחמים.",https://twitter.com/GONENB1,Gonen Ben Itzhak גונן בן יצחק,https://twitter.com/GONENB1/status/1627175257491574785,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sat Feb 18 16:35:54 +0000 2023,2175496457,MeirLayosh,"זו בדיוק הנקודה הבעייתית בכל המחאה הזו - אנשים שעשו תפקיד בחייהם, חלק מהותי מהמערכת לאורך שנים וניסיונם - לעומת קולו של העם. אותו ויכוח בן אלפי שנים בין דמוקרטיה כנתונה לשכבת העל/אליטה של העם, לבין קול המון העם מהרחובות ומהסמטאות שהגיע לקלפי וגם ניצח. קמפיין יקר, תעמולה זולה https://t.co/QR2MIQ7WKS",https://twitter.com/MeirLayosh,מאיר ליוש Meir Layosh,https://twitter.com/MeirLayosh/status/1626983859500752897,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sat Feb 18 23:56:32 +0000 2023,980756063271182336,Duduoppe,"ימשיכו לבחור ולשכפל את עצמם. לכן חייבים לתת לבג""ץ את הסמכות להיות המילה האחרונה גם בעניינים ערכיים(בניגוד לכל דמוקרטיה בעולם), כי אחרת הרוב הימני-דתי-חרדי יאסור על נשים ללכת ברחוב בלי בורקה ועל הומואים להחזיק ידיים בתל אביב. זה אולי לא יקרה מחר, אולי לא בעוד חודש, אולי לא בעוד》",https://twitter.com/Duduoppe,💥🍺David Oppenheim💥🍺,https://twitter.com/Duduoppe/status/1627094745842618370,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sun Feb 19 14:14:15 +0000 2023,2946300174,yairlapid,"כינסתי הבוקר את מנהיגות ארגוני הנשים בישראל לישיבת חירום בנושא המאבק נגד ההפיכה המשטרית. מעולם לא הייתי מודאג כמו שהייתי מודאג עכשיו. אם המהלכים שמתכננת הקואליציה יצאו לפועל - ישראל תפסיק להיות דמוקרטיה ליברלית. הציבור הראשון שיפגע הוא הנשים, מפני שהן תמיד הראשונות להיפגע. https://t.co/F3QwLBhtvV",https://twitter.com/yairlapid,יאיר לפיד - Yair Lapid,https://twitter.com/yairlapid/status/1627310601054613504,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sat Feb 18 20:13:18 +0000 2023,1550239293435793408,ShikmaBressler,"מתוך דברי בקפלן: 

כולנו זוכרים את וועדת טרטנברג. 
מטרת השמועות האלה, 
מטרת הספק שיחות האלה,
להרדים אותנו. 
לנסות לתקוע טריז בהתנגדות שלנו. 

ולזה אנחנו אומרים. לא ניפול בפח. 
אנחנו כאן. חומה בצורה. 
שומרים על ישראל - 
דמוקרטיה",https://twitter.com/ShikmaBressler,שקמה ברסלר Shikma Bressler,https://twitter.com/ShikmaBressler/status/1627038571331813377,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sat Feb 18 16:44:39 +0000 2023,514082785,bogie_yaalon,"2/6 הם גם הבהירו את הצמדותם לרוב לפוליטיקאים בוועדה לבחירת שופטים, ולחסינות חוקים מביקורת שיפוטית. מבחינתנו, בכך תם העניין והדיון במתווה שהצעת.
חשוב להבהיר, שאף אחד לא יתבלבל, כולל אתה כבוד הנשיא: אין מו״מ בין דמוקרטיה לדיקטטורה. אין אמצע. ועל מה שהוא בלתי חוקי בעליל אסור לדבר.",https://twitter.com/bogie_yaalon,משה 'בּוֹגִי' יעלון,https://twitter.com/bogie_yaalon/status/1626986061384626178,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sun Feb 19 11:54:33 +0000 2023,820885612857266176,netanelgla,"פרווילגים.
זה פשוט לא יעזור לכם.
תוציאו את הכסף מפה.
תוציאו את דיבתה של ישראל בעולם.
תסיתו.
תחסמו כבישים.
תרביצו לשוטרים.
תורידו את דירוג האשראי לאפס.
תביאו נשק גרעיני.
תפציצו בטנקים.

חמודים, הפעם זה לא יעזור לכם, אנחנו נחזיר את ישראל להיות דמוקרטיה.
גמרנו להיות עבדים.",https://twitter.com/netanelgla,נתנאל גלסנר 🇮🇱🇮🇱,https://twitter.com/netanelgla/status/1627275441852633088,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Wed Feb 15 06:14:42 +0000 2023,2657146262,Nadav_Eyal,"@Roy_Iddan @itay_timor לא אני. כל השיטה הדמוקרטית מתעדפת הכרעה עליונה בסכסוך נעשית בביהמש, ע""י ביהמש. זה בעצם הקטע: חוסר ההכרה בזה שביהמש עפ כלליו מפרש את הדין. לא הפוליטיקאים. אתה רוצה שהכוח יוחזק בידי הרשות המבצעת, אבל גם הסמכות לשיפוט תהיה סחבה שלה. תחרות הרשויות היא בריאה. זה לא אני, זה מונטסקייה.",https://twitter.com/Nadav_Eyal,נדב איל Nadav Eyal,https://twitter.com/Nadav_Eyal/status/1625740365352271872,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
Sat Feb 18 21:53:33 +0000 2023,2579273666,itay_almog_bar,"הקשיבו ליורם כהן ראש השב״כ לשעבר שמסביר הערב שאם הרפורמה המשפטית תעבור ישראל תעבור שינוי משטרי ולא תהיה דמוקרטיה!
ושחובה על כל מי שמבין את זה לצאת ולמחות. שתפו שכולם ישמעו במיוחד הציבור הדתי ושופרות התעמולה הביביסטים
שתפו! https://t.co/vvsHMKizOP",https://twitter.com/itay_almog_bar,🇮🇱 איתי אלמוג-בר Itay Almog Bar,https://twitter.com/itay_almog_bar/status/1627063797625257987,2023-04-20T13:12:42.088Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-20%20since%3A2023-02-10&src=typed_query&f=live
